ligand,ligand_smiles,base,solvent,temperature,yield,ee,reaction_smiles,reaction
(R)-piperidine-2-carboxylic acid,OC([C@@H]1NCCCC1)=O,K2CO3,t-BuOH,90,2.0,5,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(R)-azetidine-2-carboxylic acid,O=C(O)[C@@H]1NCC1,K2CO3,t-BuOH,90,3.18,35,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
L-proline,O=C(O)[C@H]1NCCC1,K2CO3,t-BuOH,90,2.01,20,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(R)-thiazolidine-4-carboxylic acid,O=C(O)[C@H]1NCSC1,K2CO3,t-BuOH,90,2.04,12,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(S)-2,5-dihydro-1H-pyrrole-2-carboxylic acid",O=C(O)[C@H]1NCC=C1,K2CO3,t-BuOH,90,2.79,7,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(R)-pyrrolidine-2-carboxamide,O=C(N)[C@@H]1NCCC1,K2CO3,t-BuOH,90,1.14,18,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(R)-5-oxopyrrolidine-2-carboxylic acid,O=C(O)[C@@H](CC1)NC1=O,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(tert-butoxycarbonyl)-L-proline,O=C(N1[C@H](C(O)=O)CCC1)OC(C)(C)C,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
L-alanyl-L-proline,O=C(O)[C@H]1N(C([C@H](C)N)=O)CCC1,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
glycyl-L-proline,O=C(O)[C@H]1N(C(CN)=O)CCC1,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
benzyl-D-proline,O=C(O)[C@@H]1N(CC2=CC=CC=C2)CCC1,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
methyl-L-proline,O=C(O)[C@H]1N(C)CCC1,K2CO3,t-BuOH,90,1.11,14,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
