solvent,base,ligand_smiles,ligand,temperature,reaction
MeCN,LiOMe,N[C@@H](CO)C(O)=O,L-serine,30.0,1
THF,K2CO3,N[C@@H](CC(O)=O)C(O)=O,L-aspartic acid,40.0,2
THP,K3PO4,N[C@@H](CCC(O)=O)C(O)=O,L-glutamic acid,50.0,
"1,4-dioxane",KOtBu,N[C@@H](CCC(N)=O)C(O)=O,L-glutamine,60.0,
MTBE,Cs2CO3,N[C@@H](CC(N)=O)C(O)=O,L-asparagine,70.0,
CPME,KOH,N[C@@H](CCCNC(N)=N)C(O)=O,L-arginine,80.0,
DCE,KF,N[C@@H](CS)C(O)=O,L-cysteine,90.0,
DME,,N[C@@H](CCSC)C(O)=O,L-methionine,,
t-BuOH,,N[C@@H](CC1=CNC=N1)C(O)=O,L-histidine,,
EA,,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,L-tryptophan,,
DMA,,N[C@H](CC1=CC=CC=C1)C(O)=O,D-phenylalanine,,
DMF,,OC([C@@H](N)CC1=CC=C(O)C=C1)=O,L-tyrosine,,
NMP,,N[C@@H](CCCC)C(O)=O,(S)-2-aminohexanoic acid,,
Toluene,,N[C@@H](C(C)C)C(O)=O,L-valine,,
Chlorobenzene,,N[C@@H]([C@H](O)C)C(O)=O,L-threonine,,
DCM,,N[C@@H]([C@H](CC)C)C(O)=O,L-isoleucine,,
MeCN,,N[C@H](C(OC)=O)[C@@H](C)CC.Cl,methyl L-isoleucinate hydrochloride,,
DMSO,,N[C@@H](C(C)(C)C)C(O)=O,"(S)-2-amino-3,3-dimethylbutanoic acid",,
MeOH,,CC(C)(C)[C@@H](C(O)=O)NC(OC(C)(C)C)=O,"(S)-2-((tert-butoxycarbonyl)amino)-3,3-dimethylbutanoic acid",,
EtOH,,N[C@@H](C(O)=O)C1CCCCC1,(R)-2-amino-2-cyclohexylacetic acid,,
DMPU,,N[C@@H](C1CCCC1)C(O)=O,(S)-2-amino-2-cyclopentylacetic acid,,
benzene,,N[C@H](C1=CCC=CC1)C(O)=O,"(R)-2-amino-2-(cyclohexa-1,4-dien-1-yl)acetic acid",,
,,N[C@H](C(O)=O)C1=C(Cl)C=CC=C1,(S)-2-amino-2-(2-chlorophenyl)acetic acid,,
,,OC([C@@H]1NCCCC1)=O,(R)-piperidine-2-carboxylic acid,,
,,O=C(O)[C@@H]1NCC1,(R)-azetidine-2-carboxylic acid,,
,,O=C(O)[C@H]1NCCC1,L-proline,,
,,O=C(O)[C@H]1NCSC1,(R)-thiazolidine-4-carboxylic acid,,
,,O=C(O)[C@H]1NCC=C1,"(S)-2,5-dihydro-1H-pyrrole-2-carboxylic acid",,
,,O=C(N)[C@@H]1NCCC1,(R)-pyrrolidine-2-carboxamide,,
,,O=C(O)[C@@H](CC1)NC1=O,(R)-5-oxopyrrolidine-2-carboxylic acid,,
,,O=C(N1[C@H](C(O)=O)CCC1)OC(C)(C)C,(tert-butoxycarbonyl)-L-proline,,
,,O=C(O)[C@H]1N(C([C@H](C)N)=O)CCC1,L-alanyl-L-proline,,
,,O=C(O)[C@H]1N(C(CN)=O)CCC1,glycyl-L-proline,,
,,O=C(O)[C@@H]1N(CC2=CC=CC=C2)CCC1,benzyl-D-proline,,
,,O=C(O)[C@H]1N(C)CCC1,methyl-L-proline,,
,,OC[C@H]1CNCC1,(R)-pyrrolidin-3-ylmethanol,,
,,O=C(O)[C@H]1CNCC1,(R)-pyrrolidine-3-carboxylic acid,,
,,OC(C[C@H]1NCCC1)=O,(S)-2-(pyrrolidin-2-yl)acetic acid,,
,,O=C(O)[C@H]1NCC[C@H]1O,"(2S,3R)-3-hydroxypyrrolidine-2-carboxylic acid",,
,,O=C(O)[C@H]1NCC[C@@H]1O,"(2S,3S)-3-hydroxypyrrolidine-2-carboxylic acid",,
,,O=C(O)[C@H]1NC[C@@H](O)C1,"(2S,4S)-4-hydroxypyrrolidine-2-carboxylic acid",,
,,O=C(O)[C@H]1NC[C@H](O)C1,"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",,
,,O=C(O)[C@H]1NC[C@H](O[Si](C2=CC=CC=C2)(C(C)(C)C)C3=CC=CC=C3)C1,"(2S,4R)-4-((tert-butyldiphenylsilyl)oxy)pyrrolidine-2-carboxylic acid",,
